enquiry_id,first_response_minutes,handling_minutes,resolution,csat,reopened,needed_translation_help
ENQ-0545,247,15,Resolved,,False,False
ENQ-0571,70,27,Resolved,4.6,False,False
ENQ-0585,24,21,Resolved,5.0,False,False
ENQ-0590,61,14,Resolved,2.9,False,False
ENQ-0661,316,11,Resolved,,False,False
ENQ-0687,160,21,Resolved,3.8,False,False
ENQ-0751,118,8,Resolved,4.1,False,False
ENQ-0863,321,11,Resolved,,False,True
ENQ-0882,81,12,Resolved,4.1,True,False
ENQ-0898,83,17,Resolved,4.5,False,False
ENQ-0001,127,9,Resolved,3.5,False,False
ENQ-0021,318,52,Escalated,3.4,False,False
ENQ-0023,782,42,Resolved,,False,True
ENQ-0054,124,24,Resolved,3.6,False,False
ENQ-0066,90,13,Resolved,4.9,False,False
ENQ-0141,150,15,Resolved,3.3,False,True
ENQ-0161,247,23,Resolved,3.4,False,False
ENQ-0285,233,18,Resolved,,False,False
ENQ-0309,370,12,Resolved,4.4,False,False
ENQ-0315,65,8,Resolved,,True,False
ENQ-0363,181,8,Resolved,,False,False
ENQ-0434,114,9,Resolved,,False,True
ENQ-0447,117,23,Resolved,4.2,False,False
ENQ-0466,115,13,Resolved,3.9,False,False
ENQ-0467,217,15,Resolved,5.0,False,False
ENQ-0469,233,16,Resolved,,False,False
ENQ-0526,73,10,Resolved,,False,False
ENQ-0674,1488,16,Resolved,,False,False
ENQ-0682,107,18,Resolved,,False,False
ENQ-0691,169,11,Resolved,,False,True
ENQ-0735,467,14,Resolved,,True,False
ENQ-0858,95,26,Resolved,5.0,False,False
ENQ-0012,754,16,Resolved,,False,False
ENQ-0048,724,40,Resolved,,False,False
ENQ-0057,306,33,Escalated,,False,False
ENQ-0163,97,14,Resolved,,False,False
ENQ-0170,197,13,Resolved,4.5,False,False
ENQ-0172,103,16,Escalated,4.7,False,False
ENQ-0223,126,20,Resolved,,False,False
ENQ-0253,182,10,Resolved,,False,False
ENQ-0269,310,39,Resolved,3.0,False,True
ENQ-0291,107,34,Escalated,4.5,False,False
ENQ-0321,101,31,Resolved,3.9,False,False
ENQ-0336,52,23,Resolved,,False,False
ENQ-0352,137,15,Resolved,,False,False
ENQ-0364,221,3,Resolved,,False,False
ENQ-0375,539,28,Resolved,2.8,False,False
ENQ-0384,339,21,Resolved,,False,False
ENQ-0401,139,13,Escalated,3.3,False,False
ENQ-0405,666,36,Escalated,,False,False
ENQ-0476,356,14,Resolved,4.1,False,False
ENQ-0544,789,15,Resolved,,False,True
ENQ-0581,178,11,Resolved,5.0,False,False
ENQ-0588,179,21,Resolved,3.8,False,True
ENQ-0685,107,14,Escalated,4.0,False,False
ENQ-0706,431,28,Resolved,,False,True
ENQ-0729,286,24,Resolved,3.7,False,False
ENQ-0742,169,30,Resolved,3.5,False,True
ENQ-0763,233,25,Resolved,4.3,True,False
ENQ-0774,58,24,Resolved,,False,False
ENQ-0855,181,19,Resolved,,False,False
ENQ-0875,88,10,Resolved,,False,False
ENQ-0879,35,14,Resolved,,False,False
ENQ-0028,412,21,Resolved,,False,True
ENQ-0050,112,19,Escalated,,False,True
ENQ-0051,20,18,Resolved,,False,False
ENQ-0084,101,15,Resolved,4.4,False,False
ENQ-0109,429,43,Resolved,,False,False
ENQ-0137,163,5,Resolved,,False,False
ENQ-0239,101,4,Resolved,,False,False
ENQ-0245,380,17,Resolved,2.9,True,True
ENQ-0249,58,22,Resolved,,False,False
ENQ-0302,130,9,Resolved,,False,False
ENQ-0322,450,15,Escalated,,False,False
ENQ-0325,111,12,Resolved,,False,False
ENQ-0355,48,35,Resolved,5.0,False,True
ENQ-0357,146,47,Resolved,,False,True
ENQ-0378,251,20,Resolved,3.7,False,False
ENQ-0400,172,7,Resolved,,False,False
ENQ-0436,110,12,Resolved,,False,False
ENQ-0438,274,20,Resolved,,False,True
ENQ-0470,344,26,Resolved,,False,False
ENQ-0524,218,22,Resolved,5.0,False,True
ENQ-0568,541,19,Resolved,,False,True
ENQ-0570,335,23,Resolved,,False,False
ENQ-0641,191,22,Resolved,5.0,False,False
ENQ-0697,84,17,Escalated,,False,False
ENQ-0713,181,17,Escalated,3.7,False,True
ENQ-0736,82,3,Resolved,4.2,False,False
ENQ-0750,226,21,Escalated,,False,False
ENQ-0830,158,11,Resolved,,False,False
ENQ-0857,244,8,Resolved,3.7,False,False
ENQ-0866,147,17,Resolved,,False,True
ENQ-0022,364,25,Resolved,,False,False
ENQ-0034,30,24,Resolved,,False,False
ENQ-0046,93,45,Resolved,,False,False
ENQ-0069,183,9,Resolved,,True,False
ENQ-0077,267,21,Resolved,,False,True
ENQ-0100,129,12,Resolved,,False,False
ENQ-0139,782,29,Resolved,,False,True
ENQ-0149,80,38,Resolved,,False,True
ENQ-0168,54,9,Resolved,,True,True
ENQ-0204,51,22,Resolved,,False,True
ENQ-0208,491,11,Resolved,3.4,True,False
ENQ-0283,42,14,Resolved,3.4,False,False
ENQ-0284,37,15,Resolved,,False,False
ENQ-0287,33,28,Resolved,,False,False
ENQ-0289,533,19,Resolved,1.5,False,True
ENQ-0300,262,21,Resolved,,False,False
ENQ-0342,107,27,Resolved,4.3,False,False
ENQ-0350,1189,18,Resolved,,False,False
ENQ-0354,468,28,Resolved,,False,False
ENQ-0365,146,12,Resolved,,False,True
ENQ-0380,292,15,Escalated,,False,False
ENQ-0403,379,18,Escalated,4.2,False,True
ENQ-0432,215,16,Escalated,,False,False
ENQ-0501,889,22,Resolved,,False,False
ENQ-0520,83,32,Resolved,3.4,False,False
ENQ-0547,236,16,Resolved,,False,False
ENQ-0548,209,13,Resolved,,False,False
ENQ-0605,105,20,Resolved,,False,False
ENQ-0628,227,10,Resolved,,False,False
ENQ-0658,304,37,Escalated,,False,False
ENQ-0660,87,13,Resolved,4.8,False,False
ENQ-0688,287,12,Resolved,3.4,False,True
ENQ-0698,255,17,Resolved,,False,False
ENQ-0753,51,17,Resolved,4.7,False,False
ENQ-0806,245,42,Resolved,,False,False
ENQ-0807,188,14,Resolved,,False,False
ENQ-0826,170,13,Resolved,4.3,False,True
ENQ-0877,519,25,Resolved,,False,False
ENQ-0886,297,31,Resolved,,False,False
ENQ-0889,184,26,Resolved,2.9,False,True
ENQ-0004,460,23,Resolved,,False,False
ENQ-0062,120,42,Resolved,3.7,False,True
ENQ-0078,150,32,Resolved,,False,True
ENQ-0129,441,9,Resolved,1.8,False,True
ENQ-0140,2252,37,Resolved,3.3,False,True
ENQ-0151,301,40,Escalated,,False,False
ENQ-0155,528,21,Resolved,,False,True
ENQ-0162,417,16,Resolved,4.4,False,False
ENQ-0176,95,19,Resolved,4.7,False,True
ENQ-0180,81,26,Escalated,4.6,True,False
ENQ-0191,144,11,Resolved,3.5,True,False
ENQ-0221,266,28,Resolved,,False,False
ENQ-0241,75,19,Resolved,4.3,False,False
ENQ-0256,169,22,Resolved,,False,True
ENQ-0257,177,30,Escalated,3.0,False,False
ENQ-0277,323,13,Resolved,,False,False
ENQ-0280,39,17,Resolved,,False,False
ENQ-0296,114,17,Resolved,,False,False
ENQ-0304,199,14,Resolved,3.0,False,False
ENQ-0411,71,14,Resolved,,False,False
ENQ-0427,778,21,Resolved,,False,False
ENQ-0475,366,19,Resolved,,False,False
ENQ-0507,504,19,Resolved,3.0,False,False
ENQ-0579,100,17,Escalated,,False,False
ENQ-0613,386,9,Resolved,,False,False
ENQ-0619,247,15,Resolved,,False,False
ENQ-0636,60,16,Resolved,,False,False
ENQ-0671,759,22,Resolved,,False,False
ENQ-0677,53,31,Escalated,4.7,False,False
ENQ-0693,74,18,Resolved,4.3,False,True
ENQ-0716,487,14,Resolved,,True,False
ENQ-0743,37,26,Resolved,3.0,False,False
ENQ-0758,526,25,Resolved,,False,True
ENQ-0851,755,16,Resolved,,False,False
ENQ-0852,229,29,Resolved,4.2,False,False
ENQ-0878,82,4,Resolved,5.0,False,False
ENQ-0032,211,16,Resolved,,False,True
ENQ-0039,312,37,Resolved,,False,False
ENQ-0056,380,12,Resolved,,False,False
ENQ-0114,221,5,Resolved,,False,False
ENQ-0127,209,12,Resolved,,False,True
ENQ-0152,277,17,Resolved,,False,False
ENQ-0159,176,15,Resolved,,False,True
ENQ-0231,88,26,Resolved,3.5,False,True
ENQ-0236,181,17,Resolved,,False,False
ENQ-0316,229,27,Resolved,,True,True
ENQ-0382,96,8,Resolved,5.0,False,True
ENQ-0398,318,35,Resolved,3.4,False,True
ENQ-0446,114,22,Resolved,3.7,False,False
ENQ-0453,245,20,Resolved,4.4,False,True
ENQ-0511,668,37,Resolved,,False,True
ENQ-0537,194,19,Resolved,4.4,False,False
ENQ-0580,163,19,Resolved,,False,True
ENQ-0599,337,27,Resolved,,False,False
ENQ-0604,135,10,Resolved,2.7,False,False
ENQ-0612,197,10,Escalated,,True,False
ENQ-0643,71,13,Escalated,,True,False
ENQ-0654,325,25,Escalated,,False,True
ENQ-0689,57,16,Escalated,4.7,False,False
ENQ-0709,800,11,Resolved,3.2,False,True
ENQ-0728,1110,22,Resolved,,False,True
ENQ-0734,251,7,Resolved,,False,False
ENQ-0776,388,11,Resolved,,False,False
ENQ-0781,203,26,Resolved,3.1,False,False
ENQ-0804,86,26,Resolved,,False,False
ENQ-0856,90,22,Resolved,4.5,False,False
ENQ-0885,301,16,Resolved,5.0,True,False
ENQ-0047,52,12,Resolved,,True,False
ENQ-0085,36,13,Escalated,4.6,False,False
ENQ-0090,65,23,Resolved,4.5,False,False
ENQ-0095,79,20,Resolved,,False,True
ENQ-0108,152,19,Resolved,3.0,False,False
ENQ-0133,176,19,Resolved,,False,False
ENQ-0195,194,11,Escalated,,False,False
ENQ-0200,828,17,Resolved,,False,False
ENQ-0211,290,10,Escalated,3.5,False,False
ENQ-0234,53,18,Resolved,,False,False
ENQ-0261,520,25,Resolved,,True,False
ENQ-0311,215,22,Resolved,,False,True
ENQ-0326,70,12,Escalated,,False,False
ENQ-0402,279,6,Resolved,,False,False
ENQ-0406,522,28,Resolved,,False,False
ENQ-0415,101,26,Resolved,,False,True
ENQ-0441,839,47,Escalated,1.6,False,False
ENQ-0445,192,13,Resolved,4.2,True,True
ENQ-0449,255,13,Resolved,4.5,False,False
ENQ-0498,149,28,Resolved,,False,True
ENQ-0531,83,26,Resolved,4.7,False,False
ENQ-0536,119,12,Resolved,3.8,False,False
ENQ-0625,338,21,Resolved,,False,False
ENQ-0646,97,13,Resolved,3.6,False,False
ENQ-0648,246,13,Resolved,,False,False
ENQ-0652,360,21,Resolved,,False,True
ENQ-0667,58,15,Resolved,5.0,False,True
ENQ-0670,942,15,Escalated,,False,False
ENQ-0721,304,18,Resolved,,False,False
ENQ-0740,378,17,Resolved,,False,True
ENQ-0768,105,32,Resolved,4.2,False,False
ENQ-0798,683,13,Resolved,3.5,True,True
ENQ-0848,382,23,Resolved,2.4,False,True
ENQ-0865,403,11,Resolved,3.1,False,False
ENQ-0895,354,11,Resolved,2.6,False,False
ENQ-0060,227,7,Resolved,,False,False
ENQ-0091,106,21,Escalated,,False,False
ENQ-0096,153,19,Resolved,4.1,False,False
ENQ-0160,369,27,Resolved,1.3,False,True
ENQ-0167,88,14,Resolved,,False,True
ENQ-0169,228,20,Resolved,,False,False
ENQ-0205,84,19,Resolved,,False,False
ENQ-0214,580,34,Resolved,5.0,False,False
ENQ-0303,133,9,Resolved,,False,True
ENQ-0345,189,27,Resolved,,False,False
ENQ-0353,447,23,Resolved,1.7,False,True
ENQ-0367,319,39,Resolved,,False,False
ENQ-0416,41,20,Resolved,,False,False
ENQ-0419,641,16,Resolved,,False,False
ENQ-0423,349,14,Resolved,,False,False
ENQ-0443,525,19,Resolved,,False,True
ENQ-0454,213,9,Resolved,,False,False
ENQ-0529,97,16,Resolved,,False,False
ENQ-0565,95,9,Resolved,3.6,False,False
ENQ-0684,326,11,Resolved,,False,True
ENQ-0714,92,27,Resolved,,True,True
ENQ-0732,130,22,Resolved,,False,False
ENQ-0761,627,14,Resolved,,False,True
ENQ-0769,353,31,Resolved,,False,True
ENQ-0821,186,10,Resolved,4.6,False,False
ENQ-0864,563,23,Resolved,,True,False
ENQ-0002,47,15,Escalated,,False,True
ENQ-0011,132,42,Resolved,,False,True
ENQ-0036,260,23,Resolved,,False,False
ENQ-0052,126,25,Resolved,,False,False
ENQ-0134,75,38,Escalated,,True,False
ENQ-0216,86,7,Resolved,4.1,False,False
ENQ-0218,106,22,Resolved,,True,True
ENQ-0247,266,33,Escalated,,False,False
ENQ-0279,156,14,Resolved,,True,False
ENQ-0319,44,12,Escalated,4.3,False,False
ENQ-0330,31,13,Resolved,,False,False
ENQ-0340,167,59,Escalated,,False,True
ENQ-0349,139,11,Resolved,2.6,False,False
ENQ-0381,65,11,Resolved,,False,False
ENQ-0394,257,29,Resolved,3.7,False,True
ENQ-0397,20,16,Resolved,3.3,False,False
ENQ-0428,408,19,Resolved,,False,True
ENQ-0448,65,12,Resolved,3.5,False,False
ENQ-0495,148,12,Resolved,,True,False
ENQ-0517,115,16,Resolved,,False,False
ENQ-0522,121,13,Resolved,,False,True
ENQ-0530,324,20,Resolved,,False,False
ENQ-0598,256,13,Resolved,,False,False
ENQ-0602,90,24,Resolved,,False,True
ENQ-0609,47,16,Resolved,,False,False
ENQ-0630,547,12,Resolved,2.9,False,True
ENQ-0650,27,14,Resolved,,False,True
ENQ-0683,25,15,Resolved,,False,False
ENQ-0710,192,4,Resolved,3.3,False,False
ENQ-0727,265,29,Resolved,3.7,False,False
ENQ-0731,448,50,Escalated,,False,True
ENQ-0816,85,15,Resolved,,False,True
ENQ-0822,424,15,Escalated,,False,False
ENQ-0831,92,18,Escalated,4.9,False,False
ENQ-0836,150,21,Resolved,,False,False
ENQ-0847,486,19,Resolved,,False,False
ENQ-0867,316,19,Resolved,,False,False
